station_id,station_name,latitude,longitude,time_utc,parameter,value,unit,source
11-001-0041,11-001-0041,38.895572,-76.958072,2026-05-31T00:00:00Z,NO2,3.8,Parts per billion,US EPA Air Quality System (AQS)
11-001-0043,11-001-0043,38.921847,-77.013178,2026-05-31T00:00:00Z,NO2,4.2,Parts per billion,US EPA Air Quality System (AQS)
11-001-0050,11-001-0050,38.970092,-77.016715,2026-05-31T00:00:00Z,NO2,2.3,Parts per billion,US EPA Air Quality System (AQS)
11-001-0051,11-001-0051,38.89477,-76.953426,2026-05-31T00:00:00Z,NO2,4.9,Parts per billion,US EPA Air Quality System (AQS)
11-001-0055,11-001-0055,38.818724,-77.010254,2026-05-31T00:00:00Z,NO2,2.7,Parts per billion,US EPA Air Quality System (AQS)
23-005-6606,23-005-6606,43.660556,-70.245556,2026-05-31T00:00:00Z,NO2,2.4,Parts per billion,US EPA Air Quality System (AQS)
36-005-0110,36-005-0110,40.816,-73.902,2026-05-31T00:00:00Z,NO2,6.4,Parts per billion,US EPA Air Quality System (AQS)
11-001-0041,11-001-0041,38.895572,-76.958072,2026-05-31T00:00:00Z,O3,0.029,Parts per million,US EPA Air Quality System (AQS)
11-001-0043,11-001-0043,38.921847,-77.013178,2026-05-31T00:00:00Z,O3,0.032,Parts per million,US EPA Air Quality System (AQS)
11-001-0050,11-001-0050,38.970092,-77.016715,2026-05-31T00:00:00Z,O3,0.031,Parts per million,US EPA Air Quality System (AQS)
11-001-0055,11-001-0055,38.818724,-77.010254,2026-05-31T00:00:00Z,O3,0.033,Parts per million,US EPA Air Quality System (AQS)
23-001-0014,23-001-0014,43.974622,-70.124608,2026-05-31T00:00:00Z,O3,0.021,Parts per million,US EPA Air Quality System (AQS)
23-005-2003,23-005-2003,43.561043,-70.207324,2026-05-31T00:00:00Z,O3,0.026,Parts per million,US EPA Air Quality System (AQS)
23-005-6606,23-005-6606,43.660556,-70.245556,2026-05-31T00:00:00Z,O3,0.033,Parts per million,US EPA Air Quality System (AQS)
23-009-0102,23-009-0102,44.351697,-68.22698,2026-05-31T00:00:00Z,O3,0.034,Parts per million,US EPA Air Quality System (AQS)
23-009-0103,23-009-0103,44.37705,-68.2609,2026-05-31T00:00:00Z,O3,0.032,Parts per million,US EPA Air Quality System (AQS)
23-011-2501,23-011-2501,44.300994,-69.771413,2026-05-31T00:00:00Z,O3,0.028,Parts per million,US EPA Air Quality System (AQS)
23-013-0004,23-013-0004,43.917955,-69.26059,2026-05-31T00:00:00Z,O3,0.031,Parts per million,US EPA Air Quality System (AQS)
23-017-3002,23-017-3002,44.377794,-70.854697,2026-05-31T00:00:00Z,O3,0.012,Parts per million,US EPA Air Quality System (AQS)
23-019-4008,23-019-4008,44.735978,-68.670752,2026-05-31T00:00:00Z,O3,0.035,Parts per million,US EPA Air Quality System (AQS)
23-023-0007,23-023-0007,43.736277,-69.797654,2026-05-31T00:00:00Z,O3,0.031,Parts per million,US EPA Air Quality System (AQS)
23-029-0021,23-029-0021,44.527653,-67.615495,2026-05-31T00:00:00Z,O3,0.031,Parts per million,US EPA Air Quality System (AQS)
23-031-0040,23-031-0040,43.58889,-70.87734,2026-05-31T00:00:00Z,O3,0.014,Parts per million,US EPA Air Quality System (AQS)
23-031-2502,23-031-2502,43.320614,-70.565496,2026-05-31T00:00:00Z,O3,0.021,Parts per million,US EPA Air Quality System (AQS)
36-001-0012,36-001-0012,42.68075,-73.75733,2026-05-31T00:00:00Z,O3,0.038,Parts per million,US EPA Air Quality System (AQS)
36-005-0110,36-005-0110,40.816,-73.902,2026-05-31T00:00:00Z,O3,0.025,Parts per million,US EPA Air Quality System (AQS)
36-005-0133,36-005-0133,40.8679,-73.87809,2026-05-31T00:00:00Z,O3,0.028,Parts per million,US EPA Air Quality System (AQS)
36-027-0007,36-027-0007,41.78555,-73.74136,2026-05-31T00:00:00Z,O3,0.038,Parts per million,US EPA Air Quality System (AQS)
36-029-0002,36-029-0002,42.99328,-78.77153,2026-05-31T00:00:00Z,O3,0.037,Parts per million,US EPA Air Quality System (AQS)
36-031-0002,36-031-0002,44.36608,-73.90312,2026-05-31T00:00:00Z,O3,0.04,Parts per million,US EPA Air Quality System (AQS)
36-031-0003,36-031-0003,44.39308,-73.8589,2026-05-31T00:00:00Z,O3,0.036,Parts per million,US EPA Air Quality System (AQS)
36-041-0005,36-041-0005,43.44957,-74.51625,2026-05-31T00:00:00Z,O3,0.045,Parts per million,US EPA Air Quality System (AQS)
36-045-0002,36-045-0002,44.08747,-75.97316,2026-05-31T00:00:00Z,O3,0.033,Parts per million,US EPA Air Quality System (AQS)
36-061-0135,36-061-0135,40.81976,-73.94825,2026-05-31T00:00:00Z,O3,0.025,Parts per million,US EPA Air Quality System (AQS)
36-063-1006,36-063-1006,43.22386,-78.47888,2026-05-31T00:00:00Z,O3,0.03,Parts per million,US EPA Air Quality System (AQS)
36-067-1015,36-067-1015,43.05235,-76.05921,2026-05-31T00:00:00Z,O3,0.035,Parts per million,US EPA Air Quality System (AQS)
36-075-0003,36-075-0003,43.28428,-76.46324,2026-05-31T00:00:00Z,O3,0.032,Parts per million,US EPA Air Quality System (AQS)
