valid_date_local,station_id,station_name,parameter,units,value,averaging_period_hours,data_source,aqi,aqi_category,latitude,longitude,full_station_id,source
07/14/26,000050113,Laval - Chomedey,PM2.5-24hr,UG/M3,18.0,24,Canada-Quebec1,68,1,45.5472,-73.7472,124000050113,AirNow preliminary observations
07/14/26,000050119,Longueuil,PM2.5-24hr,UG/M3,19.7,24,Canada-Quebec1,71,1,45.5231,-73.4939,124000050119,AirNow preliminary observations
07/14/26,000050122,Brossard - Parc Sorbonne,PM2.5-24hr,UG/M3,19.6,24,Canada-Quebec1,71,1,45.44866,-73.468631,124000050122,AirNow preliminary observations
07/14/26,000050137,Terrebonne - Parc Vaillant,PM2.5-24hr,UG/M3,17.0,24,Canada-Quebec1,66,1,45.70476,-73.65776,124000050137,AirNow preliminary observations
07/14/26,000050204,Gatineau - Hull,PM2.5-24hr,UG/M3,21.4,24,Canada-Quebec1,74,1,45.4369,-75.7261,124000050204,AirNow preliminary observations
07/14/26,000050308,Quebec - Vieux-Limoilou,PM2.5-24hr,UG/M3,28.0,24,Canada-Quebec1,86,1,46.8214,-71.2208,124000050308,AirNow preliminary observations
07/14/26,000050310,Quebec - College St-Charles Garnier,PM2.5-24hr,UG/M3,22.4,24,Canada-Quebec1,76,1,46.7969,-71.2461,124000050310,AirNow preliminary observations
07/14/26,000050311,Quebec - Ecole Les Primeveres,PM2.5-24hr,UG/M3,20.0,24,Canada-Quebec1,71,1,46.77417,-71.36972,124000050311,AirNow preliminary observations
07/14/26,000050504,Saguenay - UQAC,PM2.5-24hr,UG/M3,13.0,24,Canada-Quebec1,58,1,48.4153,-71.0528,124000050504,AirNow preliminary observations
07/14/26,000050604,Rouyn-Noranda - Parc Tremblay,PM2.5-24hr,UG/M3,21.1,24,Canada-Quebec1,73,1,48.2344,-78.9833,124000050604,AirNow preliminary observations
07/14/26,000050803,Trois-Rivieres - Ecole MEES,PM2.5-24hr,UG/M3,17.2,24,Canada-Quebec1,66,1,46.357175,-72.546187,124000050803,AirNow preliminary observations
